timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:50:22.733361+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2641.56M  free = 430.44M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""15.0"",""rss_kib"":""365808"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:51:22.927490+00:00,running,18,vm.swapusage: total = 3072.00M  used = 2644.62M  free = 427.38M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""13.9"",""rss_kib"":""365536"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:52:23.143829+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2723.94M  free = 348.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""14.6"",""rss_kib"":""365344"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:53:23.295171+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2699.94M  free = 372.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6832"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""17.8"",""rss_kib"":""367392"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:54:23.550773+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2667.94M  free = 404.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6832"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""16.1"",""rss_kib"":""366128"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:55:23.714244+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2659.94M  free = 412.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6640"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""17.4"",""rss_kib"":""366512"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:56:23.908401+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2643.94M  free = 428.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6640"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""19.1"",""rss_kib"":""365728"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:57:24.137054+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2651.94M  free = 420.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6640"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""14.1"",""rss_kib"":""367120"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:58:24.231925+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2656.25M  free = 415.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6640"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""16.4"",""rss_kib"":""365552"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:59:24.430250+00:00,running,22,vm.swapusage: total = 3072.00M  used = 2656.25M  free = 415.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6640"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""13.7"",""rss_kib"":""365600"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
