timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T09:43:02.584198+00:00,running,27,595.19
2026-07-19T09:44:02.616731+00:00,running,28,595.19
2026-07-19T09:45:02.644932+00:00,running,27,595.19
2026-07-19T09:46:02.669680+00:00,running,27,595.19
2026-07-19T09:47:02.699534+00:00,running,27,595.19
2026-07-19T09:48:02.728205+00:00,running,27,595.19
2026-07-19T09:49:02.764333+00:00,running,39,595.19
2026-07-19T09:50:02.792877+00:00,running,27,595.19
2026-07-19T09:51:02.820765+00:00,running,28,595.19
2026-07-19T09:52:02.849763+00:00,running,27,595.19
2026-07-19T09:53:02.875326+00:00,running,27,595.19
2026-07-19T09:54:02.903680+00:00,running,27,595.19
2026-07-19T09:55:02.926991+00:00,running,27,595.19
2026-07-19T09:56:02.949238+00:00,running,28,595.19
2026-07-19T09:57:02.978524+00:00,running,27,595.19
2026-07-19T09:58:03.010351+00:00,running,27,595.19
2026-07-19T09:59:03.038927+00:00,running,27,595.19
2026-07-19T10:00:03.067914+00:00,running,27,595.19
2026-07-19T10:01:03.087456+00:00,running,28,595.19
2026-07-19T10:02:03.114773+00:00,running,28,595.19
2026-07-19T10:03:03.136293+00:00,running,28,595.19
2026-07-19T10:04:03.161944+00:00,running,28,595.19
2026-07-19T10:05:03.191518+00:00,running,28,595.19
2026-07-19T10:06:03.219710+00:00,running,28,595.19
2026-07-19T10:07:03.247314+00:00,running,28,595.19
2026-07-19T10:08:03.272901+00:00,running,28,595.19
2026-07-19T10:09:03.298113+00:00,running,28,595.19
2026-07-19T10:10:03.328373+00:00,running,28,595.19
2026-07-19T10:11:03.358406+00:00,running,27,595.19
2026-07-19T10:12:03.390842+00:00,running,39,595.19
2026-07-19T10:13:03.423201+00:00,running,28,595.19
2026-07-19T10:14:03.460375+00:00,running,27,595.19
2026-07-19T10:15:03.485602+00:00,running,27,595.19
2026-07-19T10:16:03.520142+00:00,running,27,595.19
2026-07-19T10:17:03.555870+00:00,running,27,595.19
2026-07-19T10:18:03.584162+00:00,running,27,595.19
2026-07-19T10:19:03.613703+00:00,running,27,595.19
2026-07-19T10:20:03.642809+00:00,running,27,595.19
2026-07-19T10:21:03.673672+00:00,running,27,595.19
2026-07-19T10:22:03.698379+00:00,running,27,595.19
2026-07-19T10:23:03.725236+00:00,running,27,595.19
2026-07-19T10:24:03.755947+00:00,running,26,595.19
2026-07-19T10:25:03.784712+00:00,running,27,595.19
2026-07-19T10:26:03.810760+00:00,running,38,595.19
2026-07-19T10:27:03.845171+00:00,running,28,595.19
2026-07-19T10:28:03.876170+00:00,running,28,595.19
2026-07-19T10:29:03.913516+00:00,running,28,595.19
2026-07-19T10:30:03.948059+00:00,running,28,595.19
2026-07-19T10:31:03.979558+00:00,running,28,595.19
2026-07-19T10:32:03.994858+00:00,running,28,595.19
2026-07-19T10:33:04.018879+00:00,running,28,595.19
2026-07-19T10:34:04.044291+00:00,running,28,595.19
2026-07-19T10:35:04.067856+00:00,running,28,595.19
2026-07-19T10:36:04.098717+00:00,running,28,595.19
2026-07-19T10:37:04.134480+00:00,running,28,595.19
2026-07-19T10:38:04.157944+00:00,running,28,595.19
2026-07-19T10:39:04.178537+00:00,running,28,595.19
2026-07-19T10:40:04.216897+00:00,running,28,595.19
2026-07-19T10:41:04.248514+00:00,running,27,595.19
2026-07-19T10:42:04.279912+00:00,running,27,595.19
2026-07-19T10:43:04.309561+00:00,running,27,595.19
2026-07-19T10:44:04.340509+00:00,running,27,595.19
2026-07-19T10:45:04.363466+00:00,running,27,595.19
2026-07-19T10:46:04.396291+00:00,running,28,595.19
2026-07-19T10:47:04.430093+00:00,running,28,595.19
2026-07-19T10:48:04.459932+00:00,running,28,595.19
2026-07-19T10:49:04.489509+00:00,running,28,595.19
2026-07-19T10:50:04.524215+00:00,running,28,595.19
2026-07-19T10:51:04.558278+00:00,running,28,595.19
2026-07-19T10:52:04.585271+00:00,running,28,595.19
2026-07-19T10:53:04.613134+00:00,running,28,595.19
2026-07-19T10:54:04.666018+00:00,running,28,595.19
2026-07-19T10:55:04.692679+00:00,running,28,595.19
2026-07-19T10:56:04.725192+00:00,running,28,595.19
2026-07-19T10:57:04.751899+00:00,running,28,595.19
2026-07-19T10:58:04.775196+00:00,running,39,595.19
2026-07-19T10:59:04.801747+00:00,running,28,595.19
2026-07-19T11:00:04.830933+00:00,running,28,595.19
2026-07-19T11:01:04.865635+00:00,running,28,595.19
2026-07-19T11:02:04.889761+00:00,running,28,595.19
2026-07-19T11:03:04.918788+00:00,running,27,595.19
2026-07-19T11:04:04.948147+00:00,running,27,595.19
2026-07-19T11:05:04.979916+00:00,running,28,595.19
2026-07-19T11:06:05.010281+00:00,running,28,595.19
2026-07-19T11:07:05.045924+00:00,running,28,595.19
2026-07-19T11:08:05.075347+00:00,running,28,595.19
2026-07-19T11:09:05.105139+00:00,running,28,595.19
2026-07-19T11:10:05.134670+00:00,running,28,595.19
2026-07-19T11:11:05.168121+00:00,running,29,595.19
2026-07-19T11:12:05.188919+00:00,running,29,595.19
2026-07-19T11:13:05.218574+00:00,running,29,595.19
2026-07-19T11:14:05.248580+00:00,running,29,595.19
2026-07-19T11:15:05.280256+00:00,running,29,595.19
2026-07-19T11:16:05.311597+00:00,running,29,595.19
2026-07-19T11:17:05.340407+00:00,running,29,595.19
2026-07-19T11:18:05.361468+00:00,running,29,595.19
2026-07-19T11:19:05.391580+00:00,running,29,595.19
2026-07-19T11:20:05.421778+00:00,running,29,595.19
2026-07-19T11:21:05.455248+00:00,running,28,595.19
2026-07-19T11:22:05.486827+00:00,running,29,595.19
2026-07-19T11:23:05.513580+00:00,running,29,595.19
2026-07-19T11:24:05.536798+00:00,running,28,595.19
2026-07-19T11:25:05.566132+00:00,running,28,595.19
2026-07-19T11:26:05.591994+00:00,running,28,595.19
2026-07-19T11:27:05.626619+00:00,running,28,595.19
2026-07-19T11:28:05.651950+00:00,running,28,595.19
2026-07-19T11:29:05.676532+00:00,running,29,595.19
2026-07-19T11:30:05.700974+00:00,running,40,595.19
2026-07-19T11:31:05.720300+00:00,running,29,595.19
2026-07-19T11:32:05.746556+00:00,running,28,595.19
2026-07-19T11:33:05.780847+00:00,running,29,595.19
2026-07-19T11:34:05.818165+00:00,running,29,595.19
2026-07-19T11:35:05.855498+00:00,running,29,595.19
2026-07-19T11:36:05.889239+00:00,running,29,595.19
2026-07-19T11:37:05.923948+00:00,running,29,595.19
2026-07-19T11:38:05.955471+00:00,running,29,595.19
2026-07-19T11:39:05.983708+00:00,running,29,595.19
2026-07-19T11:40:06.011173+00:00,running,29,595.19
2026-07-19T11:41:06.042001+00:00,running,29,595.19
