timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T10:22:18.424011+00:00,running,18,3132.12
2026-07-19T10:23:18.630650+00:00,running,18,3139.94
2026-07-19T10:24:18.762493+00:00,running,18,3130.19
2026-07-19T10:25:18.949063+00:00,running,18,3137.25
2026-07-19T10:26:19.073632+00:00,running,18,3105.25
2026-07-19T10:27:19.180378+00:00,running,17,3136.94
2026-07-19T10:28:19.363845+00:00,running,17,3130.44
2026-07-19T10:29:19.441513+00:00,running,17,3113.0
2026-07-19T10:30:19.535380+00:00,running,16,3109.44
2026-07-19T10:31:19.731358+00:00,running,17,3127.75
2026-07-19T10:32:19.943947+00:00,running,17,3126.19
2026-07-19T10:33:20.036660+00:00,running,17,3081.5
2026-07-19T10:34:20.111757+00:00,running,18,3075.88
2026-07-19T10:35:20.274877+00:00,running,27,3093.62
2026-07-19T10:36:20.503086+00:00,running,18,3114.75
2026-07-19T10:37:20.684941+00:00,running,17,3115.75
2026-07-19T10:38:20.807605+00:00,running,17,3104.62
2026-07-19T10:39:20.888066+00:00,running,17,3115.81
2026-07-19T10:40:20.948029+00:00,running,18,3106.0
2026-07-19T10:41:21.126126+00:00,running,18,3125.81
2026-07-19T10:42:21.329372+00:00,running,17,3123.5
2026-07-19T10:43:21.510560+00:00,running,18,3129.94
2026-07-19T10:44:21.567436+00:00,running,18,3130.94
2026-07-19T10:45:21.742396+00:00,running,17,3097.75
2026-07-19T10:46:21.945756+00:00,running,16,3113.0
2026-07-19T10:47:22.074856+00:00,running,17,3115.94
2026-07-19T10:48:22.145498+00:00,running,17,3097.62
2026-07-19T10:49:22.196820+00:00,running,23,3099.12
2026-07-19T10:50:22.385239+00:00,running,16,3101.06
2026-07-19T10:51:22.553047+00:00,running,19,2309.0
2026-07-19T10:52:22.657359+00:00,running,19,2641.88
2026-07-19T10:53:22.723235+00:00,running,16,2561.31
2026-07-19T10:54:22.876368+00:00,running,18,2510.06
2026-07-19T10:55:22.945640+00:00,running,16,2468.44
